Aari1239,South Omotic,AHK,Aari-Gayil,,,,,,,,,,,,,,
Aari1240,,,,,,,,,,,,,,,,,
Adel1244,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Na-Togo,Basila-Adele,,,,,,,,,,,,
Adho1243,Nilotic,Western Nilotic,Luo-Burun,Southern Lwoo,Adhola-Alur-Luo,Adhola-Luo,,,,,,,,,,,
Adio1239,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Nyo,Agneby,,,,,,,,,,,,
Adiv1239,Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Eastern zone,Oriya-Gauda-Kamrupa,Macro-Oriya,,,,,,,,,,,
Adiw1235,Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Central zone,Subcontinental Central Indo-Aryan,Bhil,Garasia Bhil,,,,,,,,,,
Adny1235,Pama-Nyungan,Arandic-Thura-Yura,Thura-Yura,Core Thura Yura,Northern Thura-Yura,,,,,,,,,,,,
Adon1237,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Flores-Lembata,Sika-Lamaholot,Lamaholotic,Lamaholot Barat,North Lembata,,,,,,,
Adug1238,Atlantic-Congo,Volta-Congo,Benue-Congo,Akpes-Edoid,Edoid,Northwestern Edoid,,,,,,,,,,,
Adyg1241,Abkhaz-Adyge,Circassian,,,,,,,,,,,,,,,
Adze1240,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Western Oceanic linkage,North New Guinea linkage,Huon Gulf,Markham,Upper Markham,,,,,,
Aeka1244,Nuclear Trans New Guinea,Greater Binanderean,Binanderean,Nuclear Binanderean,South Binandere,Orokaivic,,,,,,,,,,,
Aeky1238,Awin-Pa,,,,,,,,,,,,,,,,
Aerr1238,Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Central zone,Subcontinental Central Indo-Aryan,Gujarati-Rajasthani,Gujaratic,Western Gujaratic,,,,,,,,,
Afad1236,Afro-Asiatic,Chadic,Biu-Mandara,North Biu-Mandara,Musgu-Kotoko,Kotoko-Buduma,Kotoko Septentrional,,,,,,,,,,
Afar1241,Afro-Asiatic,Cushitic,East Cushitic,Lowland East Cushitic,Saho-Afar,,,,,,,,,,,,
Afgh1239,Sign Languages,,,,,,,,,,,,,,,,
Afit1238,Nyimang,,,,,,,,,,,,,,,,
Afri1274,Indo-European,Germanic,Northwest Germanic,West Germanic,Franconian,Low Franconian,Afrikaansic,,,,,,,,,,
Afro1254,Indo-European,Germanic,Northwest Germanic,West Germanic,North Sea Germanic,Anglo-Frisian,Anglian,Mercian,Macro-English,Guinea Coast Creole English,Caribbean English Creole,Eastern Caribbean Creole,Gullah-Nevis-Antigua,Gullah,,,
Afud1235,Atlantic-Congo,Volta-Congo,Benue-Congo,Benue-Congo Plateau,Yukubenic,,,,,,,,,,,,
Agar1251,Dravidian,South Dravidian,South Dravidian II,Gondi,,,,,,,,,,,,,
Agar1252,Nuclear Trans New Guinea,Kainantu-Goroka,Kainantu,Gauwa,Gadsup-Agarabi,,,,,,,,,,,,
Agat1236,Atlantic-Congo,Volta-Congo,Benue-Congo,Idomoid,Akweya,Etulo-Idoma,Nuclear Idoma,,,,,,,,,,
Agav1236,Arawakan,Central Maipuran,,,,,,,,,,,,,,,
Aghe1239,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Wide Grassfields,Narrow Grassfields,Ring,West Ring,,,,,,,,
Aghu1253,Nakh-Daghestanian,Daghestanian,Lezgic,Nuclear Lezgic,East Lezgic,,,,,,,,,,,,
Aghu1254,Pama-Nyungan,Paman,Rarmul Pama,,,,,,,,,,,,,,
Aghu1255,Nuclear Trans New Guinea,Central and South New Guinea,Greater Awyu,Awyu-Dumut,Awyu,Central and West Awyu,Mappi-Digul Awyu,,,,,,,,,,
Aghw1237,Nakh-Daghestanian,Daghestanian,Lezgic,Udi-Aghwan,,,,,,,,,,,,,
Agii1245,Nuclear Torricelli,Wapei-Palei,West Palai,Agi-Yeri,,,,,,,,,,,,,
Agob1244,Pahoturi,,,,,,,,,,,,,,,,
Agoi1246,Atlantic-Congo,Volta-Congo,Benue-Congo,Delta Cross,Upper Cross,Agoi-Doko-Iyoniyong,,,,,,,,,,,
Agta1234,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Northern Luzon,Northeastern Luzon,Nuclear Northeastern Luzon,Paranan-Pahanan,,,,,,,,,,
Agua1251,Arawakan,Southern Maipuran,Pre-Andine,,,,,,,,,,,,,,
Agua1252,Mayan,Yucatecan-Core Mayan,Core Mayan,Quichean-Mamean,Greater Mamean,Ixilan,,,,,,,,,,,
Agua1253,Jivaroan,,,,,,,,,,,,,,,,
Agun1238,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Gbe,Western Gbe,,,,,,,,,,,,
Agus1235,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Greater Central Philippine,Manobo,Central and Southern Manobo,Central Manobo,East and Central Manobo,East Central Manobo,,,,,,,,
Agut1237,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Kalamian,,,,,,,,,,,,,
Agwa1247,Atlantic-Congo,Volta-Congo,Benue-Congo,Delta Cross,Upper Cross,Central Upper Cross,North-South Central Delta Cross,Ubaghara-Kohumono,Kohumonoic,,,,,,,,
Ahan1243,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Nyo,Potou-Tano,Tano,Central Tano,Bia,Southern Bia,,,,,,,,
Ahan1244,Atlantic-Congo,Volta-Congo,Benue-Congo,Defoid,Ayere-Ahan,,,,,,,,,,,,
Aheu1239,Austroasiatic,Vietic,,,,,,,,,,,,,,,
Ahir1243,Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Central zone,Subcontinental Central Indo-Aryan,Khandesic,,,,,,,,,,,
Ahom1240,Tai-Kadai,Kam-Tai,Be-Tai,Daic,Central-Southwestern Tai,Wenma-Southwestern Tai,Sapa-Southwestern Tai,Southwestern Tai,Southwestern Tai P,,,,,,,,
